image_id,mask_id,foci_count,label
image_0_D35,10,3,ADR
image_0_D35,11,1,OTHER
image_0_D35,12,1,ADR
image_0_D35,13,11,OTHER
image_8_D35,1,8,MES
image_8_D35,2,7,MES
image_8_D35,3,3,OTHER
image_8_D35,4,2,ADR
image_8_D35,5,1,OTHER
image_8_D35,7,10,OTHER
image_8_D35,8,1,ADR
image_8_D35,10,1,ADR
image_8_D35,11,6,OTHER
image_8_D35,12,3,ADR
image_8_D35,13,1,ADR
image_8_D35,14,2,OTHER
image_8_D35,15,1,OTHER
image_8_D35,16,1,OTHER
image_8_D35,17,4,OTHER
image_8_D35,19,6,ADR
image_8_D35,20,1,ADR
image_8_D35,21,1,ADR
image_8_D35,22,2,ADR
image_17_D35,1,2,OTHER
image_17_D35,2,5,MES
image_17_D35,23,7,OTHER
image_17_D35,24,1,ADR
image_17_D35,43,1,OTHER
image_17_D35,49,10,MES
image_17_D35,50,17,MES
image_21_D35,1,16,MES
image_21_D35,4,1,OTHER
image_21_D35,10,1,OTHER
image_21_D35,11,2,ADR
image_21_D35,12,3,OTHER
image_21_D35,16,2,ADR
image_21_D35,17,3,OTHER
image_21_D35,23,2,ADR
image_21_D35,26,9,MES
image_21_D35,27,4,MES
image_21_D35,28,3,MES
image_21_D35,29,5,MES
image_21_D35,31,2,MES
image_21_D35,32,1,OTHER
image_10_D35,3,1,ADR
image_10_D35,4,9,MES
image_10_D35,5,2,ADR
image_10_D35,8,2,OTHER
image_10_D35,9,1,ADR
image_10_D35,10,1,ADR
image_10_D35,11,1,OTHER
image_10_D35,12,6,OTHER
image_10_D35,13,7,OTHER
image_10_D35,15,2,ADR
image_25_D35,11,1,ADR
image_25_D35,20,1,OTHER
image_25_D35,31,1,OTHER
image_25_D35,38,1,ADR
image_25_D35,51,1,MES
image_25_D35,58,1,ADR
image_25_D35,59,1,ADR
image_25_D35,60,1,ADR
image_25_D35,79,1,ADR
image_25_D35,91,1,OTHER
image_25_D35,107,1,ADR
image_25_D35,114,1,ADR
image_25_D35,118,1,ADR
image_25_D35,124,1,OTHER
image_25_D35,144,1,OTHER
image_14_D35,2,1,OTHER
image_14_D35,4,1,OTHER
image_14_D35,5,2,OTHER
image_14_D35,6,2,OTHER
image_14_D35,8,2,MES
image_19_D35,2,6,MES
image_19_D35,4,8,MES
image_19_D35,9,64,MES
image_19_D35,10,1,OTHER
image_19_D35,11,1,OTHER
image_19_D35,12,6,OTHER
image_19_D35,13,4,OTHER
image_1_D35,1,2,ADR
image_1_D35,2,1,ADR
image_1_D35,3,3,OTHER
image_1_D35,5,1,ADR
image_1_D35,6,1,ADR
image_1_D35,9,1,ADR
image_1_D35,11,7,MES
image_11_D35,1,1,OTHER
image_11_D35,2,4,OTHER
image_11_D35,3,2,OTHER
image_11_D35,4,6,OTHER
image_11_D35,5,1,OTHER
image_3_D35,1,2,MES
image_3_D35,2,2,OTHER
image_3_D35,6,5,OTHER
image_3_D35,7,1,ADR
image_3_D35,12,2,OTHER
image_3_D35,13,3,OTHER
image_3_D35,13,3,OTHER
image_3_D35,15,2,ADR
image_3_D35,17,1,ADR
image_3_D35,18,1,ADR
image_3_D35,19,2,OTHER
image_3_D35,20,3,OTHER
image_5_D35,1,3,ADR
image_5_D35,2,1,ADR
image_5_D35,3,1,ADR
image_5_D35,4,2,OTHER
image_5_D35,5,7,MES
image_5_D35,7,1,OTHER
image_5_D35,8,2,OTHER
image_23_D35,3,5,MES
image_23_D35,6,1,ADR
image_23_D35,11,1,OTHER
image_23_D35,12,1,ADR
image_23_D35,15,2,OTHER
image_23_D35,21,2,OTHER
image_23_D35,22,1,ADR
image_23_D35,29,1,ADR
image_23_D35,31,1,OTHER
image_23_D35,34,2,OTHER
image_23_D35,39,1,OTHER
image_23_D35,42,1,OTHER
image_23_D35,43,1,ADR
image_23_D35,44,2,OTHER
image_23_D35,45,1,ADR
image_23_D35,46,1,OTHER
image_23_D35,47,1,OTHER
image_23_D35,48,2,OTHER
image_23_D35,52,1,ADR
image_23_D35,55,1,ADR
image_23_D35,70,2,ADR
image_23_D35,76,1,ADR
